Issuer name,Issuer LEI code,Latest position date,Sum short %
Starbreeze AB,213800T68IVZFR868L42,2021-06-30,0.34
Doxa Aktiebolag,529900M00QZG3C24PX08,2024-08-29,0.39
Quickbit eu AB (publ),549300I5OMH3T4UPBN04,2024-08-29,0.18
Kancera AB,5493002P3RCOFW6HI207,2021-03-03,0.19
Polygiene Group AB,549300C17W4NO12E4Q14,2024-08-27,0.19
Enad Global 7 AB (publ),549300OBCTAOBEEVN513,2024-05-15,0.2
Fastpartner AB,549300BG6SL5QQ7LQW56,2024-08-23,0.1
Waystream Holding AB (publ),549300BOC6GHWDSJ6X83,2020-01-02,0.19
Cinis Fertilizer AB,6488R5365P1TL3DK2R87,2024-08-23,0.1
Storytel AB (publ),549300I1FSPPI9HHU419,2021-08-06,0.56
CellaVision AB,529900IUBZBZ0HXFJ114,2022-10-10,1.14
Strax AB,5493005LXSKPJXQXI542,2020-03-13,0.2
Intervacc AB,549300OICIVZBBZRNZ64,2023-06-09,0.13
Scandinavian Enviro Systems AB,549300Y61O5J9OHX6M22,2021-11-30,0.19
Gruvaktiebolaget Viscaria,5299004NWV90GIWSWQ04,2024-07-29,0.31
Mendus AB (publ),529900AFBGFR7ZB50J95,2021-03-25,0.19
Atlas Copco Aktiebolag,213800T8PC8Q4FYJZR07,2022-02-11,0.31
SAS AB,549300ZJTLE5T4SGP021,2021-08-26,1.11
BIMobject AB,549300H8BEEY6RNQH874,2021-10-19,0.19
Magnasense AB,549300MWGS283WZLYI10,2024-06-13,0.5
Loomis AB,213800NS2XXVRYS7WP40,2021-06-03,1.56
Nordea Bank Abp,529900ODI3047E2LIV03,2023-03-16,0.48
Viking Supply Ships AB,549300EE66H3WO5AYK71,2024-08-01,0.19
Creades AB (publ),549300MYLGD0VKNGTJ47,2024-07-30,0.38
Mantex Aktiebolag,549300CUQ0FYU2MBDD17,2024-01-19,0.2
Bambuser AB,529900BWE386D22MGZ23,2024-07-23,0.33
ProstaLund AB,549300E8DQ5IX5LJ5I21,2021-03-10,0.12
Bure Equity AB,5493000EHCBQ7QQBGX32,2024-07-22,0.59
Balco Group AB,549300Z8JUDQ3BN8QB79,2021-02-09,0.1
InDex Pharmaceuticals Holding AB,54930047C4A74IBXR037,2021-03-04,0.21
Neobo Fastigheter AB (publ),213800QBPS3L89U9TZ44,2024-07-12,0.13
Teneo AI AB,98450060010AABBAA974,2024-07-12,0.15
Pricer Aktiebolag,5493000MATG2DYK19F35,2021-04-23,0.17
MGI - Media and Games Invest SE,391200UIIWMXRLGARB95,2021-11-22,0.18
Episurf Medical AB,549300GORBCSMHZB2J75,2021-08-10,0.19
Investmentaktiebolaget Latour,5493006GFBLNB3Y0Y789,2022-11-01,0.29
Millicom International Cellular S.A.,549300CTHC1CP86P2G96,2022-09-13,1.54
