Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
Qube Research & Technologies Limited,ITM Power PLC,GB00B0130H42,0.62,2024-11-06
Canada Pension Plan Investment Board,ITV PLC,GB0033986497,0.69,2024-10-16
GLG Partners LP,ITV PLC,GB0033986497,1.27,2024-11-11
Point72 Europe (London) LLP,ITV PLC,GB0033986497,0.75,2024-10-30
Vor Capital LLP,ITV PLC,GB0033986497,0.61,2023-12-05
AKO Capital LLP,J. Sainsbury PLC,GB00B019KW72,1.32,2024-11-11
BlackRock Investment Management (UK) Limited,J. Sainsbury PLC,GB00B019KW72,1.12,2024-10-31
Canada Pension Plan Investment Board,J. Sainsbury PLC,GB00B019KW72,0.6,2024-10-24
"AQR Capital Management, LLC",JD SPORTS FASHION PLC,GB00BM8Q5M07,0.8,2024-11-11
Marshall Wace LLP,JD SPORTS FASHION PLC,GB00BM8Q5M07,0.59,2024-11-14
BlackRock Investment Management (UK) Limited,JOHNSON MATTHEY PLC,GB00BZ4BQC70,1.18,2024-10-07
Clean Energy Transition LLP,JOHNSON MATTHEY PLC,GB00BZ4BQC70,0.6,2024-11-14
GLG Partners LP,Judges Scientific,GB0032398678,1.11,2024-10-11
GLG Partners LP,KAINOS GROUP PLC,GB00BZ0D6727,0.85,2024-11-04
JPMorgan Asset Management (UK) Ltd,KAINOS GROUP PLC,GB00BZ0D6727,0.56,2024-11-13
Qube Research & Technologies Limited,KAINOS GROUP PLC,GB00BZ0D6727,0.51,2024-11-01
AKO Capital LLP,KINGFISHER PLC,GB0033195214,1.46,2024-09-18
Canada Pension Plan Investment Board,KINGFISHER PLC,GB0033195214,0.84,2024-09-17
Kintbury Capital LLP,KINGFISHER PLC,GB0033195214,0.91,2024-11-14
Millennium International Management LP,KINGFISHER PLC,GB0033195214,0.7,2024-11-07
"Cyrus Capital Partners, L.P.",Logistics Development Group,GB00BD8QVC95,1.02,2024-06-03
ActusRayPartners Limited,MARLOWE PLC,GB00BD8SLV43,0.58,2024-07-30
GLG Partners LP,MARLOWE PLC,GB00BD8SLV43,1.08,2024-10-28
Panmure Gordon,MCCOLL'S RETAIL GROUP PLC,GB00BJ3VW957,1.4,2023-05-12
"AQR Capital Management, LLC",MELROSE INDUSTRIES PLC,GB00BNGDN821,0.5,2024-11-01
GLG Partners LP,MELROSE INDUSTRIES PLC,GB00BNGDN821,0.76,2024-11-14
Lingotto Investment Management LLP,MELROSE INDUSTRIES PLC,GB00BNGDN821,0.62,2024-09-11
Millennium International Management LP,MELROSE INDUSTRIES PLC,GB00BNR5MZ78,1.56,2023-04-19
Pictet Asset Management Ltd,Metro Bank Holdings Plc,GB00BMX3W479,0.59,2024-07-31
GLG Partners LP,Mobico Group PLC,GB0006215205,0.59,2024-11-07
Marshall Wace LLP,Mobico Group PLC,GB0006215205,0.69,2024-09-11
Marshall Wace LLP,MONDI PLC,GB00BMWC6P49,1.29,2024-11-11
Millennium International Management LP,MONDI PLC,GB00BMWC6P49,0.61,2024-11-13
GLG Partners LP,MOONPIG GROUP PLC,GB00BMT9K014,0.58,2024-11-06
GLG Partners LP,MORTGAGE ADVICE BUREAU HOLDINGS LTD,GB00BQSBH502,0.74,2024-10-10
Marshall Wace LLP,NCC GROUP PLC,GB00B01QGK86,0.5,2024-10-07
"Saba Capital Management, L.P.",NEXT FIFTEEN COMMUNICATIONS GROUP PLC,GB0030026057,0.53,2024-10-21
Marshall Wace LLP,NEXT PLC,GB0032089863,0.8,2024-11-04
AHL Partners LLP,OCADO GROUP PLC,GB00B3MBS747,0.8,2024-11-08
"Arrowstreet Capital, Limited Partnership",OCADO GROUP PLC,GB00B3MBS747,0.52,2023-05-23
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,1.4,2024-11-01
D1 Capital Partners LP,OCADO GROUP PLC,GB00B3MBS747,2.24,2024-07-18
Gladstone Capital Management LLP,OCADO GROUP PLC,GB00B3MBS747,0.7,2024-10-30
Systematica Investments Limited,Oxford Nanopore Technologies PLC,GB00BP6S8Z30,0.5,2024-11-12
Canada Pension Plan Investment Board,Pandora A/S,DK0060252690,0.59,2024-10-17
"Mangrove Partners IM, LLC",Pantheon Resources,GB00B125SX82,1.0,2024-10-24
"AQR Capital Management, LLC",PENNON GROUP PLC,GB00BNNTLN49,1.21,2024-11-14
"Arrowstreet Capital, Limited Partnership",PENNON GROUP PLC,GB00BNNTLN49,0.62,2024-04-12
BlackRock Investment Management (UK) Limited,PENNON GROUP PLC,GB00BNNTLN49,0.54,2024-11-08
JPMorgan Asset Management (UK) Ltd,PENNON GROUP PLC,GB00BNNTLN49,0.8,2024-11-13
Qube Research & Technologies Limited,PENNON GROUP PLC,GB00BNNTLN49,2.09,2024-11-13
Kintbury Capital LLP,PERSIMMON PLC,GB0006825383,0.74,2024-11-14
Helikon Investments Limited,PETROFAC LTD,GB00B0H2K534,3.2,2024-11-04
TFG Asset Management UK LLP,PETROFAC LTD,GB00B0H2K534,2.03,2024-10-15
BlackRock Investment Management (UK) Limited,PETS AT HOME GROUP PLC,GB00BJ62K685,0.85,2024-11-11
GLG Partners LP,PETS AT HOME GROUP PLC,GB00BJ62K685,1.0,2024-09-02
Mirabella Financial Services LLP,PETS AT HOME GROUP PLC,GB00BJ62K685,0.53,2024-09-13
"Connor, Clark & Lunn Investment Management Ltd",PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,0.6,2024-10-16
Gladstone Capital Management LLP,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,0.6,2024-11-06
GLG Partners LP,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,0.61,2024-10-01
Clearance capital Ltd,PRIMARY HEALTH PROPERTIES PLC,GB00BYRJ5J14,0.71,2024-07-02
GLG Partners LP,PRIMARY HEALTH PROPERTIES PLC,GB00BYRJ5J14,1.86,2024-10-31
JPMorgan Asset Management (UK) Ltd,PRIMARY HEALTH PROPERTIES PLC,GB00BYRJ5J14,0.67,2024-09-18
Sandell Asset Management Corp,PRIMARY HEALTH PROPERTIES PLC,GB00BYRJ5J14,0.5,2019-03-06
JPMorgan Asset Management (UK) Ltd,RASPBERRY PI HOLDINGS PLC,GB00BS3DYQ52,0.71,2024-11-12
Mirabella Financial Services LLP,RASPBERRY PI HOLDINGS PLC,GB00BS3DYQ52,0.62,2024-10-21
